iter	Passed	Remaining
0	1	148
1	2	127
2	3	126
3	4	113
4	5	112
5	6	109
6	8	108
7	9	107
8	10	105
9	11	102
10	12	101
11	13	99
12	14	98
13	15	96
14	16	95
15	17	94
16	19	92
17	20	91
18	21	90
19	22	90
20	23	88
21	24	87
22	25	86
23	26	84
24	28	84
25	29	83
26	30	82
27	31	81
28	32	80
29	33	79
30	35	78
31	36	76
32	37	75
33	38	74
34	39	73
35	40	72
36	41	71
37	42	69
38	43	68
39	44	67
40	46	66
41	46	64
42	47	63
43	48	61
44	49	60
45	50	59
46	52	58
47	53	57
48	54	56
49	55	55
50	56	54
51	57	53
52	58	52
53	59	50
54	60	49
55	61	48
56	62	47
57	63	46
58	64	45
59	66	44
60	67	43
61	68	42
62	69	40
63	70	39
64	71	38
65	72	37
66	73	36
67	75	35
68	76	34
69	77	33
70	78	31
71	79	30
72	80	29
73	81	28
74	82	27
75	83	26
76	84	25
77	85	24
78	86	23
79	87	21
80	89	20
81	90	19
82	91	18
83	92	17
84	93	16
85	94	15
86	95	14
87	96	13
88	97	12
89	98	10
90	99	9
91	100	8
92	102	7
93	103	6
94	104	5
95	105	4
96	106	3
97	107	2
98	108	1
99	109	0
