iter	Passed	Remaining
0	127	126950
1	132	66251
2	145	48264
3	149	37213
4	153	30594
5	156	25863
6	158	22435
7	160	19899
8	162	17938
9	164	16325
10	169	15267
11	171	14106
12	172	13106
13	173	12242
14	175	11503
15	176	10861
16	177	10281
17	178	9759
18	179	9292
19	181	8872
20	184	8582
21	185	8236
22	186	7918
23	187	7624
24	188	7354
25	189	7104
26	190	6874
27	191	6658
28	192	6458
29	193	6269
30	195	6098
31	196	5933
32	199	5840
33	200	5695
34	201	5558
35	202	5428
36	203	5304
37	204	5188
38	206	5077
39	207	4970
40	208	4868
41	209	4772
42	210	4680
43	211	4592
44	214	4554
45	215	4477
46	217	4401
47	218	4331
48	219	4267
49	221	4206
50	222	4143
51	223	4083
52	225	4027
53	226	3971
54	229	3949
55	231	3898
56	232	3850
57	234	3802
58	235	3754
59	236	3706
60	238	3666
61	239	3628
62	241	3590
63	244	3581
64	246	3547
65	248	3514
66	249	3481
67	251	3446
68	252	3410
69	254	3376
70	256	3353
71	260	3358
72	261	3326
73	263	3295
74	264	3265
75	266	3239
76	267	3210
77	269	3184
78	270	3157
79	272	3131
80	275	3126
81	277	3104
82	278	3071
83	279	3045
84	280	3021
85	282	2998
86	283	2975
87	284	2952
88	286	2928
89	287	2905
90	290	2899
91	291	2878
92	292	2855
93	294	2835
94	297	2832
95	299	2816
96	300	2796
97	301	2779
98	305	2778
99	307	2767
100	308	2750
101	310	2732
102	311	2714
103	313	2700
104	315	2686
105	316	2670
106	318	2655
107	321	2658
108	323	2641
109	324	2627
110	325	2609
111	326	2592
112	328	2576
113	329	2561
114	330	2545
115	332	2531
116	333	2514
117	336	2516
118	338	2502
119	339	2487
120	340	2477
121	341	2460
122	343	2445
123	344	2432
124	345	2419
125	346	2405
126	347	2389
127	348	2375
128	352	2380
129	353	2367
130	354	2354
131	356	2342
132	357	2330
133	358	2319
134	360	2308
135	361	2295
136	362	2283
137	363	2271
138	367	2276
139	368	2266
140	370	2254
141	370	2240
142	371	2229
143	373	2219
144	374	2208
145	375	2197
146	376	2186
147	377	2175
148	379	2166
149	380	2156
150	381	2146
151	382	2136
152	384	2126
153	385	2117
154	386	2108
155	387	2098
156	388	2088
157	389	2078
158	391	2068
159	392	2058
160	394	2058
161	396	2049
162	397	2041
163	398	2032
164	399	2023
165	401	2016
166	402	2009
167	404	2004
168	406	1996
169	407	1988
170	410	1990
171	411	1981
172	412	1974
173	414	1966
174	415	1958
175	416	1950
176	417	1941
177	418	1933
178	419	1925
179	420	1917
180	422	1910
181	425	1912
182	426	1904
183	427	1896
184	428	1888
185	429	1880
186	431	1874
187	432	1867
188	433	1860
189	434	1852
190	435	1845
191	436	1837
192	438	1831
193	440	1831
194	441	1824
195	443	1817
196	444	1810
197	445	1803
198	446	1798
199	447	1791
200	449	1784
201	450	1778
202	451	1771
203	452	1764
204	454	1764
205	456	1757
206	457	1751
207	458	1745
208	459	1739
209	460	1732
210	461	1726
211	462	1720
212	463	1713
213	464	1707
214	465	1701
215	466	1694
216	469	1693
217	470	1687
218	471	1681
219	472	1675
220	473	1669
221	474	1663
222	475	1657
223	476	1651
224	477	1646
225	479	1640
226	480	1634
227	481	1628
228	482	1623
229	484	1622
230	485	1617
231	487	1612
232	488	1607
233	489	1601
234	490	1596
235	491	1591
236	492	1585
237	493	1580
238	494	1575
239	495	1570
240	497	1565
241	499	1563
242	500	1558
243	501	1553
244	502	1548
245	503	1543
246	504	1538
247	505	1533
248	506	1529
249	508	1524
250	509	1519
251	510	1514
252	511	1509
253	512	1504
254	514	1503
255	515	1498
256	516	1494
257	517	1489
258	518	1484
259	520	1480
260	521	1475
261	522	1471
262	523	1467
263	524	1462
264	525	1457
265	526	1453
266	528	1449
267	530	1447
268	531	1444
269	532	1440
270	534	1436
271	535	1432
272	536	1428
273	537	1424
274	538	1420
275	540	1416
276	541	1413
277	542	1409
278	544	1407
279	545	1403
280	547	1399
281	548	1395
282	549	1391
283	550	1387
284	551	1383
285	552	1379
286	553	1374
287	554	1370
288	555	1366
289	556	1363
290	559	1362
291	560	1358
292	561	1354
293	562	1350
294	563	1346
295	564	1343
296	565	1339
297	567	1335
298	568	1332
299	569	1328
300	570	1324
301	571	1320
302	572	1318
303	574	1316
304	575	1312
305	576	1308
306	578	1305
307	579	1301
308	580	1297
309	581	1294
310	582	1290
311	583	1286
312	584	1283
313	585	1279
314	586	1275
315	589	1275
316	590	1271
317	591	1268
318	592	1264
319	593	1261
320	594	1257
321	595	1254
322	596	1251
323	598	1247
324	599	1244
325	600	1240
326	601	1237
327	602	1234
328	604	1232
329	605	1229
330	606	1225
331	607	1222
332	608	1219
333	609	1215
334	610	1212
335	611	1209
336	613	1206
337	614	1202
338	615	1199
339	616	1196
340	618	1194
341	619	1191
342	620	1188
343	621	1185
344	623	1183
345	624	1180
346	625	1177
347	626	1174
348	627	1171
349	628	1168
350	629	1164
351	630	1161
352	632	1159
353	634	1157
354	635	1153
355	636	1150
356	637	1147
357	638	1144
358	639	1141
359	640	1138
360	641	1135
361	642	1132
362	643	1129
363	644	1126
364	645	1123
365	647	1121
366	649	1119
367	650	1116
368	651	1113
369	652	1110
370	653	1107
371	654	1104
372	655	1101
373	656	1099
374	657	1096
375	659	1093
376	660	1090
377	661	1087
378	663	1087
379	664	1084
380	665	1081
381	667	1079
382	668	1076
383	669	1074
384	670	1071
385	671	1068
386	672	1065
387	673	1062
388	674	1059
389	675	1057
390	678	1057
391	679	1054
392	680	1051
393	682	1048
394	683	1046
395	684	1043
396	685	1040
397	686	1038
398	687	1035
399	688	1032
400	689	1030
401	690	1027
402	691	1024
403	694	1023
404	695	1021
405	696	1018
406	697	1016
407	698	1013
408	699	1010
409	700	1008
410	701	1005
411	702	1002
412	703	1000
413	704	997
414	705	995
415	708	993
416	709	991
417	710	989
418	711	986
419	712	984
420	714	981
421	715	979
422	716	977
423	717	975
424	718	972
425	720	970
426	721	967
427	723	967
428	725	964
429	726	962
430	727	960
431	728	957
432	729	955
433	730	952
434	731	950
435	732	947
436	733	945
437	734	943
438	736	940
439	738	939
440	739	937
441	740	935
442	741	932
443	742	930
444	743	927
445	744	925
446	746	922
447	747	920
448	748	918
449	749	915
450	750	913
451	751	910
452	753	910
453	754	907
454	755	905
455	757	903
456	758	901
457	759	899
458	760	896
459	762	894
460	763	892
461	764	890
462	766	888
463	769	889
464	771	887
465	773	885
466	774	883
467	775	881
468	776	878
469	777	876
470	778	874
471	779	872
